text,intent
quiero traspasar mi servicio a nombre de una empresa,KGB_CAMBIARLINEA
Hola quiero una prorroga de pago de mi ultima boleta de hogar,KGB_PRORROGA
OK muchas gracias pero deben mejorar la atencion de este sistema,HANDOVER_RECLAMOS
Hola buenas tardes queria consultar como puedo bloquear un chip de un celular que se me acaba de perder,KGB_BLOQUEARCELIUPERDIROBO
tengo un planFull Control S856 necesito la boleta,COPIA_BOLETA_FIJO_MOVIL
CONSULTA SOY DE LA AMPRESA ALPROTEC EN EL CUAL MANEJAS CHIPS PARA CLIENTES NECESITO SABER SI UNOS CHIP QUE TENGO ESTAN HABILITADOS DONDE TENGO QUE DIRIJIRME,KGB_COMPRARCHIPMOVI
me robaron el celular y quero recuperar mi numero cambio de chip,KGB_BLOQUEARCELIUPERDIROBO
buenas tardes quiero portar un numero a movistar como lo puedo hacer,KGB_MOVIL
No puedo activar mi chip Movistar,KGB_ACTIVARPREPAGO
Buenas tarde necesito dar de baja mi plan hogar,HANDOVER_BAJA
Para que quedara activo su chip,KGB_ACTIVARPREPAGO
Necesito dar de baja mi plan hogar No tengo clave de internet solo mi rut,HANDOVER_BAJA
Esta bloqueado,KGB_BLOQUEOSELECTPLANESFIJO
Hola mi nombre es Sandra Rojas tengo contratado un plan hogar de internet y necesito reducir su valor,KGB_SOLCAMBIPLAN
Hola buenas tardes me aparece una deuda de 103 298 y no de que puede ser,DEUDA_FIJO_MOVIL
Buenas tardes tengo bloqueado mi celular,KGB_BLOQUEOSELECTPLANESFIJO
renove mi equipo no recuerdo mi correo ni mi contraseña,KGB_CAMBIARCLAVESVAPPMOVI
Como puedo hacer para activar el chip prepago,KGB_ACTIVARPREPAGO
Bloqueo,KGB_BLOQUEOSELECTPLANESFIJO
Hola sabe recarge 2 000 pesos y ahora no tengo nada d saldo y el tengo la boleta m podira ayudar porfavo el numero es 968263857 porfavor si seria tan amable y,HANDOVER_RECLAMOS
Mi consulta es tengo una deuda de 2 meses como puedo pedir una prorroga xq quiero pagar pero con una prorroga,KGB_PRORROGA
No tengo clave virtual,KGB_REGISTRARSV
No tengo internet El router esta en rojo donde dice voice,HANDOVER_RECLAMOS
y necesito pagar mi cuenta movistar movil,KGB_LUGARPAGOMOVI
si aceptaron mi prorroga me dieron plazo hasta el dia 19 de octubre pero hoy amaneci sin servicio,KGB_PRORROGA
Contratar Internet,VENTAS_C2C
hola como saber cuando me recargar nuevamente mi plan de internet y minutos,REINICIO_PLAN
Lo que pasa que no puedo llamar por que me cortaron el servicio hace una hora,HANDOVER_RECLAMOS
el servicio de hogar como puedo realizar la prorroga,KGB_PRORROGA
Quisiera pedir una prorroga,KGB_PRORROGA
Quiero saber de un cobro raro,DEUDA_FIJO_MOVIL
Quisiera saber el valor de mi plan movil,DETALLE_PLAN_FIJO_MOVIL
necesito bajar mi plan ya que tenia un descuento y se me acabo,KGB_SOLCAMBIPLAN
Necesito inscribir la clave y rut para ingresar,KGB_REGISTRARSV
Buenos Dias necesito cambiar el servicio de internet a otro domicilio por motivos de mudanza,KGB_CAMBIARDOMICILIOSERVFIJO
hola mi deuda,DEUDA_FIJO_MOVIL
Quiero pedir prorroga,KGB_PRORROGA
Para saltar de prepago a plan con este numero 994295782,KGB_MOVIL
Como lo hago para saltar de prepago a plan,KGB_MOVIL
Solicito una prorroga,KGB_PRORROGA
necesito inscribir mi celular,KGB_BLOQUEARCELIUPERDIROBO
Me cortaron el servicio,KGB_COBROREPOSERVICIO
hola buenas tardes di de baja el servicio de television y telefono fijo,HANDOVER_RECLAMOS
Hola buenas tardes quisiera informacion sobre un estado de un servicio tecnico movil,KGB_REVISARREPARACIONEQUIPO
Quisiera solicitar una prorroga con una de mis lineas,KGB_PRORROGA
Me llamo una chica para portarme a movistar,KGB_MOVIL
me estoy cambiando de campañia won a movistar,KGB_MOVIL
y no me ha llegado loa chip,KGB_COMPRARCHIPMOVI
Consultar por una posible deuda,DEUDA_FIJO_MOVIL
Mi problema es que no recuerdo mi contraseña,KGB_REGISTRARSV
quisiera saber porque es ese valor de la cuota 21500 si el mes pasado pague 14 000 quiero saber porque la alza del cobro,HANDOVER_RECLAMOS
Hola quiero cambiar mi equipo,KGB_LIBREQUIPO
Mi numero de servicio,KGB_CONOCERNUMEROASOCSERV
No funciona el internet,HANDOVER_RECLAMOS
Llamo al 6006003000 y no me deja hacer una prorroga,KGB_PRORROGA
Llamo al 6006003000 y no me deja hacer una prorroga,KGB_PRORROGA
Cuanto es lo q cobran x reposicion del servicio,KGB_COBROREPOSERVICIO
Pero en mi boleta me aparece un cobro de seis mil pesos tres mil x cada linea,HANDOVER_RECLAMOS
no tengo el servicio operativo,HANDOVER_RECLAMOS
NO TENGO SUCURSAL VIRTUAL,KGB_REGISTRARSV
NO ME PERMITE REGISTRARME EN LA SUCURSAL VIRTUAL,KGB_REGISTRARSV
Hola necesito cambiar mi pack de internet y telefonia ha un plan mas barato que tengo que hacer,KGB_SOLCAMBIPLAN
Hola como hacerlo para renunciar a mi plan,KGB_SOLCAMBIPLAN
hola ver si tengo deuda,DEUDA_FIJO_MOVIL
buenas tardes quiero pagar el internet y no se el numero,KGB_CONOCERNUMEROASOCSERV
Hola necesito contratar un plan,VENTAS_C2C
quiero cambiar de plan puedo,KGB_SOLCAMBIPLAN
hola queria saber acerca de un equipo,KGB_COMPRAREQUIPOMOVICL
perdi el chip como lo puedo recuperar,KGB_COMPRARCHIPMOVI
recuperar el chip tiene costo,KGB_COMPRARCHIPMOVI
Quisiera una prorroga Para Mi Servicio Hogar,KGB_PRORROGA
Hoy me llamaron para ofrecerme un descuento por mi deuda del saldo anterior y que solo tenia que ire ira la sucursal de Movistar y hacer el pago de 20200 como abono a mi cuenta y que me repondran,KGB_LUGARPAGOMOVI
Necesito mi ultima boleta,COPIA_BOLETA_FIJO_MOVIL
hola sabes perdi mi chip y queria saber como lo puedo hacer para recuperar el chip,KGB_COMPRARCHIPMOVI
el chip no funciona,KGB_COMPRARCHIPMOVI
Puedo aumentar mi plan,VENTAS_C2C
Quiero subir mi plan,KGB_SOLCAMBIPLAN
hola quiero pagar internet de casa y la cuenta del celular,KGB_LUGARPAGOMOVI
Pregunto por la reposicion de cable tv,KGB_COBROREPOSERVICIO
Hice un reclamo por falla de Internet fui tajante en pedir que el tecnico viniera el viernes pues otro dia no puedo recibirlo y me agendaron la visita para mañana,HANDOVER_RECLAMOS
Como activo un chip,KGB_ACTIVARPREPAGO
Necesito saber por un equipo movil que compre en el ciber day,KGB_COMPRAREQUIPOMOVICL
Pague mi cuenta pero no puedo llamar,HANDOVER_RECLAMOS
Quisiera saber de movil play tiene costo,KGB_QUEESMOVISTARPLAY
Como pagar el wifi,KGB_QUIEROPAGAR
Quiero inscribir un celular extranjero,KGB_CELUEXTRANJERO
como activar un sim,KGB_ACTIVARPREPAGO
No tengo clave para ingresar,KGB_REGISTRARSV
hola yo tengo claro me quiero cambiar a movistar con equipo,KGB_RECAMBIOEQUIPOMIVIONE
Dudas sobre cuotas de mi equipo,KGB_LIBREQUIPO
No tengo clave sucursal virtual,KGB_REGISTRARSV
Renovacion de equipo,KGB_LIBREQUIPO
Renovacion de equipo,KGB_LIBREQUIPO
Y todavia no me llega el codigo del retiro del movil,CONSUMO_DATOS_MOVIL
No me a llegado el codigo del retiro del movil,CONSUMO_DATOS_MOVIL
QUIERO SABER QUE IPHONE TIENEN DISPONIBLE,KGB_COMPRAREQUIPOMOVICL
Dar de baja servicios,HANDOVER_BAJA
Necesito saber que dia llegara un equipo movil que compre el dia 9 de octubre via internet y con despacho a domicilio,KGB_DESPACHO
como puedo pagar,KGB_QUIEROPAGAR
quiero ver si tengo factibilidad,VENTAS_C2C
quiero ver si tengo factibilidad,VENTAS_C2C
Si contrato un plan puedo conservar mi numero,VENTAS_C2C
No tengo clave,KGB_REGISTRARSV
Quiero saber mi numero de servicio y solo tengo mi rut,KGB_CONOCERNUMEROASOCSERV
Nesecito actualizar mis datos,KGB_CAMBIADATOSPERSONALESSV
Necesito cambiar el chip de mi celular,KGB_COMPRARCHIPMOVI
por que no tengo internet fuera de mi casa si el paquete lo tiene incluido,HANDOVER_RECLAMOS
Necesito saber cuanto e ocupado de mi internet hogar fibra optica,CONSUMO_DATOS_FIJO
Olvide mi clave,KGB_REGISTRARSV
Quiero saber sobre mi plan,DETALLE_PLAN_FIJO_MOVIL
Como puedo cambiarme de plan de celular,VENTAS_C2C
Quiero bloquear mi numero 993456607,KGB_BLOQUEARCELIUPERDIROBO
Hola quiero contratar un servicio,VENTAS_C2C
necesito cambiar el chip y conservar numero,KGB_COMPRARCHIPMOVI
Buenas tardes quiero saber si mi celular que compre en movistar aun tiene garantia Lo tengo 6 meses,KGB_GARANTIACELU
Hola acabo de pagar boleta de mi movil y no se me activaron los datos de navegacion,CONSUMO_DATOS_MOVIL
Com obtener la clave,KGB_REGISTRARSV
Puk del chip,KGB_USUARCHIPTRIPLECORTE
sabes necesito pagar mi plan de internet hogar,VENTAS_C2C
hola quisiera ver la posibilidad de bloquear mi plan ya que me robaron mi celular,KGB_BLOQUEARCELIUPERDIROBO
necesito cambiar miboleta hogar a opcion prepago,KGB_CAMBIARTARIFACELUPREPAGO
como puedo obtener un plan,KGB_SOLCAMBIPLAN
como puedo sacar un equipo a costo cero,VENTAS_C2C
para solictar mi chip,KGB_COMPRARCHIPMOVI
Necesito informacion de mi plan,KGB_SOLCAMBIPLAN
Hola para desbloqueo de un equipo,KGB_LIBREQUIPO
medir velocidad desde mi computador,KGB_VELOCIDAD
Hola recibi una promocion de descuento por nuevo equipo,KGB_COMPRAREQUIPOMOVICL
quiero cambiar mi plan por uno mas barato,KGB_SOLCAMBIPLAN
me robaron el celular,KGB_BLOQUEARCELIUPERDIROBO
Mi consulta es la siguiente,DETALLE_PLAN_FIJO_MOVIL
hola queria saber si movistar cuenta con servicio de internet satelital,DEUDA_FIJO_MOVIL
Configuracion Internet movil,KGB_FUNCWIFIMOVIL
Hola voy a viajar a China y quiero saber si tienen algun producto Roaming para acceder a internet en China,KGB_USARCELUFUERACHILE
Hola buenas como puedo saber si tengo deuda con Movistar,DEUDA_FIJO_MOVIL
reposicion,KGB_COBROREPOSERVICIO
No tenho internet en mi casa revise la cuenta y no tengo deuda,DEUDA_FIJO_MOVIL
necesito desbloquear y recuperar mi chip,KGB_COMPRARCHIPMOVI
reposicion de servicio fono 77030243,KGB_COBROREPOSERVICIO
Pasos a seguir para activar mi chip,KGB_ACTIVARPREPAGO
Necesito el telefono de asistencias tecnica de television,HANDOVER_BAJA
Nesecito contratar plan de TV enternet,VENTAS_C2C
Hola buena sabes que Page mi plan y todavia no me dan el plan,REINICIO_PLAN
Hola la consulta es la siguiente yo solicite un Huawei y7 queria saber cuando me llega xfa,REINICIO_PLAN
Tengo un problema deporte a movistar y me trajeron el chip a mi casa pero por un mal entendido el chip se perdio,KGB_COMPRARCHIPMOVI
Tengo problemas con la señal que queda pegado y casa 20 minutos se va la señal,HANDOVER_RECLAMOS
como la puedo obtener la clave,KGB_REGISTRARSV
Como lo puedo hacer si no tengo contraseña para realizar el termino de un servicio,KGB_REGISTRARSV
Del plan,DETALLE_PLAN_FIJO_MOVIL
Como activar Movistar play,KGB_ACTMOVPLAY
yo solicite la baja de un telefono fijo y me infromaron que tenia certificar la baja por este medio,HANDOVER_RECLAMOS
No recuerdo mi clave de acceso a la sucursal virtual,KGB_REGISTRARSV
Como puedo usar mi facturacion Movistar,KGB_ACTMOVPLAY
Estaba bloqueado por imei,KGB_BLOQUEOSELECTPLANESFIJO
porfa se cayo el internet de mi casa,CONSUMO_DATOS_MOVIL
No tengo clave,KGB_REGISTRARSV
BUenas noches necesito configurar los datos moviles de un telefono irpo qyue traje desde colombia,CONSUMO_DATOS_MOVIL
Como puedo hacer un abono movil,KGB_FUNCWIFIMOVIL
Como puedo hacer un abono movil,KGB_FUNCWIFIMOVIL
Requisitos para renovar equipo,KGB_COMPRAREQUIPOMOVICL
Me estan cobrando una boleta pero no me a llegado el chip,COPIA_BOLETA_FIJO_MOVIL
Hola buenas noches yo quiero subir mi plan a mas GB,KGB_SOLCAMBIPLAN
Ultima boleta,COPIA_BOLETA_FIJO_MOVIL
Deuda,DEUDA_FIJO_MOVIL
no puedo ingresar a movistar play con mi correo,KGB_ACTMOVPLAY
Hola me bloquearon mi telefono,DEUDA_FIJO_MOVIL
No tengo una clave virtual,KGB_REGISTRARSV
No tengo clave,KGB_REGISTRARSV
tengo una duda donde puedo bloquear mi celular,KGB_BLOQUEARCELIUPERDIROBO
Buenas noche por favor donde puedo llamar por que no tengo el servicio de internet fal,HANDOVER_RECLAMOS
En mi casa no hay internet,HANDOVER_RECLAMOS
necesito bloquear mi numero de telefono,KGB_BLOQUEARCELIUPERDIROBO
Necesito el numero de pin,KGB_CONOCERNUMEROASOCSERV
Hola Quiero inscribir mi telefono que traje desde el extranjero y no me deja,KGB_CELUEXTRANJERO
necesito pagar factura de internet,KGB_QUIEROPAGAR
Necesito un numero de algun operador,HANDOVER_SOLICITUDES
como activo el roaming,KGB_USARCELUFUERACHILE
Me cambio de casa se puede hacer traslado del wii fii,KGB_CAMBIARDOMICILIOSERVFIJO
Como puedo activar mi chip,KGB_ACTIVARPREPAGO
Necesito mi numero porfavor,KGB_CONOCERNUMEROASOCSERV
Compre un celular pero no puedo activar chip,KGB_ACTIVARPREPAGO
No tengo cable ni internet,HANDOVER_RECLAMOS
Hola cual es mi ultima boleta,COPIA_BOLETA_FIJO_MOVIL
Cual es mi numero de telefono,KGB_CAMBIONUMTELEFONO
Tenia un plan xs,KGB_SOLCAMBIPLAN
Estado de cuenta,COPIA_BOLETA_FIJO_MOVIL
Portabilidad,KGB_MOVIL
Quiero portarme,VENTAS_C2C
Lo que pasa esque el 17 de octubre fui a pagar mi plan y aun no me lo dan me avian echo un descuento pero dece k aun sigo con deuda,REINICIO_PLAN
Lo k pasa esk cuando me manda la app nose cual clave es la k me pide,KGB_REGISTRARSV
Buenos dias estoy en mi casa desde el Jueves sin red fija de telefono suena ocupado es la cuarta ves que pasa lo mismo,HANDOVER_RECLAMOS
Cual es la clave Movistar q me pide,KGB_REGISTRARSV
el viernes pague mi cuenta de telefono movil y aun no activan el servicio,HANDOVER_RECLAMOS
hola te comento que estoy sin internet,HANDOVER_RECLAMOS
Estoy esperando el despacho de mi nuevo celular,KGB_DESPACHO
hola buenas tardes para contratar el canal warner en movistar play,KGB_ACTMOVPLAY
eso necesito aplazar el pago d mi cuenta,KGB_PRORROGA
el servicio tecnico tiene garantia,KGB_GARANTIACELU
hola quiero saber si tienen un plan de telefono de casa y celular para una persona de la tercera edad,KGB_COMPRAREQUIPOMOVICL
Hola buenas tardes necesito una copia de mi ultima boleta de pago de servicio de telefonia celular,COPIA_BOLETA_FIJO_MOVIL
Mi nombre es Natalia Miranda hoy di de baja mi internet fibra optica,KGB_CUANTOSEQUIPOSWIFI
El plan duos pro hd de 600megas tiene cdf Premium,KGB_DESCONTRATARCANALES
Este es un chip con plan,KGB_SOLCAMBIPLAN
Mi deuda,DEUDA_FIJO_MOVIL
Quiero que vengan a retirar la instalacion del cable e internet,HANDOVER_RECLAMOS
como se si mi plan tiene roaming ilimitado,KGB_USARCELUFUERACHILE
Hola me a llegado mail de activacion de servicios movistar y yo no e aceptado ningun servicio que puedo hacer,HANDOVER_RECLAMOS
Como puedo cambiar la clave de mi Internet de la casa,KGB_CAMBIARPASSWIFIRED
Quiero saber como puedo pedir una prorroga en mi servicio de internet hogar y si se paga,KGB_PRORROGA
Como cambiar de plan,KGB_SOLCAMBIPLAN
La contraseña de entrada para ajustes del wifi fue cambiada y no se recuerda,KGB_INGPASSPAREN
Reparacion de pantalla,KGB_REVISARREPARACIONEQUIPO
Quiero saber porque no tengo aun internet hogar,HANDOVER_RECLAMOS
Quiero saber si hay algun problema con la linea telefonica en mi zona,HANDOVER_RECLAMOS
Tengo un problema con mi nuevo chip,KGB_COMPRARCHIPMOVI
Hola contrate un plan con un celular y me habian dicho q era costo cero y ahora me dicen q tengo q pagar 2y algo,REINICIO_PLAN
Quiero saber el estado de mi pedido,KGB_DESPACHO
Deseo bloquear mi plan y mi equipo por robo,KGB_BLOQUEARCELIUPERDIROBO
Pague y no tengo tele,HANDOVER_RECLAMOS
Mi servicio de tele,KGB_QUEESMOVISTARPLAY
No tengo television,HANDOVER_RECLAMOS
Despues del Rut me pides una contraseña que contraseña es,KGB_CAMBIARCLAVESVAPPMOVI
Necesito mi ultima boleta hogar,COPIA_BOLETA_FIJO_MOVIL
Sabe que ayer pague mi plan y no me han dado el plan,REINICIO_PLAN
existe facilidades de pago,KGB_LUGARPAGOMOVI
QUIERO SABER QUE ES EL PLAN XM3,DETALLE_PLAN_FIJO_MOVIL
quiero que me envien la boleta de movistar,COPIA_BOLETA_FIJO_MOVIL
me robaron el celular fui a la sucursal de arca pero se encuentra cerrada,KGB_BLOQUEARCELIUPERDIROBO
Como podria bloquear temporalmente mi numero de celular tras un robo,KGB_BLOQUEARCELIUPERDIROBO
Hola quiero renunciar a mi internet hogar,CONSUMO_DATOS_FIJO
Hola necesito cambiar al titular de una linea telefonica residencial,KGB_CAMBIARLINEA
Hola buenas tardes por favor hace 2 dias no tengo señal en uno de los TV,HANDOVER_RECLAMOS
Como puedo pedir una prorroga en mi cuenta,KGB_PRORROGA
Quiero renovar mi equipo Necesito un samsung Galaxy J6,KGB_COMPRAREQUIPOMOVICL
donde puedo pagar,KGB_LUGARPAGOMOVI
se me perdio el celular nesecito bloquearlo,KGB_BLOQUEARCELIUPERDIROBO
Repactar deuda,DEUDA_FIJO_MOVIL
Quisiera renegociar mi deuda,DEUDA_FIJO_MOVIL
Hola envie mi celular al servicio tecnico y necesito saber el estado de mi equipo el deducible que debo cancelar y cuando estaria de vuelta,KGB_MOVISTARTSEGURO
hola el dia lunes me robaron el telefono quiero solicitar un nuevo chip y el bloqueo del celular,KGB_BLOQUEARCELIUPERDIROBO
queria saber horario de funcionamiento de movistar sucursal san fernando,KGB_LUGARPAGOMOVI
necesito solicitar el bloqueo de mi telefono por robo,KGB_BLOQUEARCELIUPERDIROBO
buenos dias necesito bloquer mi celuluar por robo,KGB_BLOQUEARCELIUPERDIROBO
No quiero mi telefono con buzon de voz,KGB_BUZONMOVILMOVISTAR
Buenas tardes necesito prorroga para pagar mi cuenta,KGB_PRORROGA
necesito la ultima boleta,COPIA_BOLETA_FIJO_MOVIL
hola como veo los equipos y plan,KGB_SOLCAMBIPLAN
No he podido pagar mi cuenta recien puedo a fin de mes pero necesito comunicarme con mi familia por la situacion de emergencia que estamos pasando,HANDOVER_RECLAMOS
Ya escogi el plan al que quiero portarme,KGB_SOLCAMBIPLAN
quiero cambiar contraseña del wifi,KGB_CAMBIARPASSWIFIRED
No puedo ingresar a sucursal movistar,KGB_REGISTRARSV
Hola sabes tengo internet y cable hogar y no me funciona,HANDOVER_RECLAMOS
Boleta mensual,COPIA_BOLETA_FIJO_MOVIL
Cual es mi plan hogar,DETALLE_PLAN_FIJO_MOVIL
tengouna deuda con ustdes para regularizar,DEUDA_FIJO_MOVIL
como cambio la contraseña de la red wifi,KGB_CAMBIARPASSWIFIRED
Quisiera saber si puedo contratar otro plan con telefono incluido,VENTAS_C2C
ESTOY SIN SERVICIOS TELEFONIA Y WIFI,KGB_TELEFONIAINALAMOVI
hola necesito bloquear un numero de celular por extravio,KGB_BLOQUEARCELIUPERDIROBO
para conservar el numero de celular como lo tengo que hacer,KGB_BLOQUEARCELIUPERDIROBO
Se me bloqueo mi tarjeta sim,KGB_BLOQUEARCELIUPERDIROBO
Sucursales abiertas,KGB_LUGARPAGOMOVI
Hola como obtengo la clave virtual,KGB_REGISTRARSV
Quiero bloquear una linea,KGB_BLOQUEARCELIUPERDIROBO
No tengo clave,KGB_REGISTRARSV
reclamo,HANDOVER_RECLAMOS
Quisiera tener mi boleta de pago de mi internet,COPIA_BOLETA_FIJO_MOVIL
COSTO DEL CELULAR NOKIA 2 2,KGB_COMPRAREQUIPOMOVICL
Pague la deuda de 6 400 y estoy sin servicio,HANDOVER_RECLAMOS
Cuanto se demoran en dar el servicio cuando lo tuviste cortado,REINICIO_PLAN
pague mi cuenta movistar y no puedo llamar,HANDOVER_RECLAMOS
quisiera saber si hay cobertura en mi domicilio,KGB_FACTIBILIDAD
como puedo activar mi chip,KGB_ACTIVARPREPAGO
El router no funcion emite un ruido,HANDOVER_RECLAMOS
Sin internet,HANDOVER_RECLAMOS
E cancelado un monto de deuda el dia de hoy e el cual den de que era,DEUDA_FIJO_MOVIL
queria saber mi numero para poder ingresar a pagar mi cuenta de movistar higar,KGB_CONOCERNUMEROASOCSERV
SOY PAOLA Y NECESITO UNA COPIA DE LA CUENTA,COPIA_BOLETA_FIJO_MOVIL
Como cambiar la clave Wi Fi y el nombre de tu red,KGB_CAMBIARPASSWIFIRED
clave,KGB_REGISTRARSV
Hola quisiera saber si puedo contratar tv e internet hogar,VENTAS_C2C
Hola Me gustaria cotizar el portarme a Movistar,KGB_MOVIL
Compre un celular huawei movistar,KGB_COMPRAREQUIPOMOVICL
Y no se el numero,KGB_CONOCERNUMEROASOCSERV
necesito recuperar mi chip,KGB_COMPRARCHIPMOVI
Quiero cancelar mi plan,KGB_SOLCAMBIPLAN
necesito informacion de decodificador iptv como conseguirlo,KGB_FUNCIPTVREQINSTA
El internet no funciona,HANDOVER_RECLAMOS
Hola sabes que estoy pensando en renovar mi equipo,KGB_COMPRAREQUIPOMOVICL
Quiero mi 2000 pesos ctmre,HANDOVER_SOLICITUDES
Necesito el puk del numero 974156284 porfis,KGB_CONOCERNUMEROASOCSERV
Hola tengo una duda la cosa es que hace un tiempo perdi mi chip y con ello mi numero me gustaria saber como puedo recuperarlo,KGB_COMPRARCHIPMOVI
Quiero bajar el plan que tengo con Movistar a uno mas barato,KGB_SOLCAMBIPLAN
como puedo mantener mi numero con un chip nuevo,KGB_COMPRARCHIPMOVI
Cambio de plan,KGB_SOLCAMBIPLAN
Hola yo perdi mi celular y me pasaron otro no puedo comprar otro por ahora y quiero saber a q nombre esra esre chip,KGB_COMPRARCHIPMOVI
Chip,KGB_USUARCHIPTRIPLECORTE
Deuda,DEUDA_FIJO_MOVIL
Como cancelo mi plan,DETALLE_PLAN_FIJO_MOVIL
Ayer en la mañana hise una solicitud de rebaja de plan pero ayer en la tarde no me pude actvar los datos de internet movil siendo que con el,CONSUMO_DATOS_MOVIL
Con cuantas gigas quedo ahora el plan entonces,REINICIO_PLAN
hola le compre un telefono a una amiga y al parecer ella lo compro con un plan y ahora el telefono no funciona,HANDOVER_RECLAMOS
EN MI DECODIFICADOR SALE TERJETA CADUCADA,KGB_MANUALES
Hola nose donde dirigirme ya q no tengo cobertura soy del pueblo de talhuen de la comuna de Ovalle y ya llevo una semana sin nada de cobertura,HANDOVER_RECLAMOS
lo que pasa que tengo un plan con internet ilimitado y ese,DETALLE_PLAN_FIJO_MOVIL
Hola me robaron mi telefono y quisiera recuperar la linea,KGB_BLOQUEARCELIUPERDIROBO
Y on lime no puedo,HANDOVER_RECLAMOS
Portavilida con equipo pie 0,KGB_COMPRAREQUIPOMOVICL
Hice recien una recarga de 3000 y no me aparece por niun lado,KGB_DETALLERECARGASPREPAGO
Hce dos semanas que no tengo internet,HANDOVER_RECLAMOS
necesito contratar un plan con equipo,VENTAS_C2C
como ingreso a la app,KGB_REGISTRARSV
Hola me interesa portarme a movistar,KGB_MOVIL
Hola buenas tardes quisiera saber saldo de mi movil 974228754,DEUDA_FIJO_MOVIL
Desde el viernes no tenemos Internet,HANDOVER_RECLAMOS
Hola necesito saber que plan es el que tengo asociado en mi hogar,DETALLE_PLAN_FIJO_MOVIL
buenas tardes necesito saber como trasladar un servicio de internet y terminar contrato de movistar play,HANDOVER_BAJA
la pantalla de mi celular esta de colores,KGB_CELULARFALLANDO
Tengo bloqueado mi equipo por no pago,KGB_BLOQUEOSELECTPLANESFIJO
Necesito un traslado de mi servicio por cambio de domicilio,KGB_CAMBIARDOMICILIOSERVFIJO
Quiero saber si puedo optar algun plan de television y de internet,VENTAS_C2C
hola quisiera saber porque me cortaron el plan siendo que esta pagado,REINICIO_PLAN
Hola necesito eliminar el canal cdf,KGB_DESCONTRATARCANALES
Necesito ayuda para recuperar clave de wifi,KGB_REGISTRARSV
Hola quiero saber como desbloquear mi equipo para uso internacional,KGB_LIBREQUIPO
cual es mi numero,KGB_CONOCERNUMEROASOCSERV
necesito bloquear chip,KGB_BLOQUEARCELIUPERDIROBO
hola tengo una cuenta vencida primera vez que me atraso y no tengo posibilidad de pagar hasta el dia 30,HANDOVER_RECLAMOS
No tengo clave,KGB_REGISTRARSV
Tengo con ustedes el servicio de internet para el hogar en unos dias me voy a cambiar de domicilio mi consulta seria como trasladar mi servicio a mi nuevo domicilio,KGB_CAMBIARDOMICILIOSERVFIJO
Como puedo solicitar el traslado de mi servicio de internet hogar a mi nuevo domicilio,KGB_CAMBIARDOMICILIOSERVFIJO
Quisiera saber como puedo conseguir un nuevo equipo,KGB_COMPRAREQUIPOMOVICL
esque sabe que desde la tarde no funciona porque unos funcionarios de otra empresa trabajando poniendo internet en otro casa pero resulta que ahora nosotros no tenemos internet,HANDOVER_RECLAMOS
hola me acaban de robar mi celular como puedo bloqiuearlo,KGB_BLOQUEARCELIUPERDIROBO
Necesito informacion de garantia por compra via web de equipos liberados,KGB_GARANTIACELU
Direccion de sucursales abiertas mañana jueves 31 de octubre del 2019,KGB_LUGARPAGOMOVI
Hace 2 dias que no tenemos internet cuando ya pagamos la cuenta,HANDOVER_RECLAMOS
Desactivar canales,KGB_DESCONTRATARCANALES
Hola Me podria indicar si tengo un seguro contratado para mi celular por daño de pantalla,KGB_APLICOSEGUROACCIDENTE
Hola queria consultar sobre el tema de SOS,CONSULTA_SOS
hola nesesito bloquear un numero,KGB_BLOQUEARCELIUPERDIROBO
Hola necesito dar de baja mi plan hogar,HANDOVER_BAJA
Hola Quiero hacer un traspaso de titular de linea,KGB_CAMBIARLINEA
Necesito una prorroga de pago,KGB_PRORROGA
Necesito una prorroga de pago,KGB_PRORROGA
Necesito bloquear el celular numero 982103542 porque ayer me lo robaron,KGB_BLOQUEARCELIUPERDIROBO
Hola mira sabes que yo tengo Movistar hogar y lo quiero dar de baja pero ayer able con una ejecutiva de Movistar y me dijo que no lo de de baja y ella me ofrecia un plan de 14990 para que siga conMov,HANDOVER_BAJA
Cual es la contraseña virtual,KGB_REGISTRARSV
No tengo contraseña,KGB_REGISTRARSV
Trato de contratar un pasaporte roaming,KGB_CONTRROAMINGAPPMOVI
pague una deuda y aun no me habilitan el celular,REINICIO_PLAN
Que si los locales de atencion a publico abren este sabado,KGB_LUGARPAGOMOVI
necesito un nuevo chip,KGB_COMPRARCHIPMOVI
Hola necesito bloquear un numero por robo,KGB_BLOQUEARCELIUPERDIROBO
quisiera saber si podria optar a un plan con equipo,VENTAS_C2C
No tengo clave virtual,KGB_REGISTRARSV
Como puedo cambiar mi fecha de pago,KGB_LUGARPAGOMOVI
Como puedo cambiar mi fecha de pago,KGB_LUGARPAGOMOVI
Quiero cambiar mi fecha de facturacion,KGB_CICLOS
tengo un cargo por suscripcion rostro que yo no autorice,HANDOVER_RECLAMOS
Hola me gustaria dar de baja servicio,HANDOVER_BAJA
dar de baja servicio,HANDOVER_BAJA
Numero de Movistar,KGB_CONOCERNUMEROASOCSERV
hola necesito bloquear mi celular que me robaron,KGB_BLOQUEARCELIUPERDIROBO
Hola como puedo saber si puedo obtener internet,VENTAS_C2C
hola necesito bloquear un celular por extravio pero no encuentro la opcion en la pagina web,KGB_BLOQUEARCELIUPERDIROBO
Quiero liberar un equipo que utilice cuando vuvi en chile,KGB_LIBREQUIPO
