text,intent
Consulta sobre despacho de equipo comprado online,Ninguna
hola quisiera saber el estado de la señal de internet que tengo en mi hogar,Ninguna
No tengo mi clave la solicito y mandan el codigo a otro numero de celular que no es mio,Ninguna
tengo un numero prepago movistar y no estoy recibiendo mensajes de texto Podrias verificar si tengo activo la mensajeria por sistema,Ninguna
tengo una rebaja por deuda anterior de 5125 pague el 28 de agosto en unired 5130 Unimarc segun lo indicado por telefono y aun no obtengo la reposicion de la linea,Ninguna
Hola ayer inicie proceso para desactivacion de tripack solo me quedare con un plan de internet de 100 Mega por 20 990,Ninguna
Hola Necesito inscribir un equipo nuevo que compre fuera de chile,Ninguna
Quisiera saber porque tengo que pagar 11 000,Ninguna
Cancele cuenta ayer y no tengo habilitado el servicio,Ninguna
mi consulta es que cancele la deuda atrasada,Ninguna
quiero activar mi cuenta de movistar play pero me sale que mi rut no esta asociado a ningun plan,Ninguna
necesito cambiarme a otra compañia y necesito saber que debo hacer para dejar todo saldado con ustedes,Ninguna
Necesito hacer el reclamo de mi servicio de TV en mi casa,Ninguna
Necisto pasar de plan a prepago,Ninguna
https catalogo movistar cl fullprice catalog product view id 5494 s p20 pro twilight category 15,Ninguna
se necesita saber si estos equipos prepago mediante la compra por internet llegarian a destino real del comprador,Ninguna
podria saber por la orden de trabajo numero 4937824,Ninguna
Quiero saber porque siempre me suben el pago porque no es un valor fijo,Ninguna
Eaque contrate un plan con aparato y no me ah llegado Como ago para ver cuando llega en realidad,Ninguna
Si he pagado hoy mi cuenta de celular el movil podria desbloquee por favor,Ninguna
Mi movil esta Bloquedo,Ninguna
Necesito dar de baja unos servicios,Ninguna
hice pago de la linea celular en servipag y estoy sin linea,Ninguna
Necesito pagar boleta,Ninguna
Necesito un numero para comsultar por un chip que llegaria a mi casa,Ninguna
quiero cambiar la clave de mi wifi pero no me sale,Ninguna
hoy cancele mi plan y aun me sale la deuda,Ninguna
Hola me saber si puedo modificar mis planes de telefonia movil mediante esta plataforma,Ninguna
necesito saber el despacho de un movil,Ninguna
donde puedo pedir otro control remoto del deco kaon,Ninguna
no tengo señal en mi celular,Ninguna
donde puedo pedir control remoto,Ninguna
Hola necesito regularizar una deuda que no me corresponde por un servicio hogar que no se utiliza desde diciembre de 2018 hace 2 meses fue la ultima vez que fui a la sucursal donde hicieron nota,Ninguna
Hola necesito regularizar una deuda que no me corresponde por un servicio hogar que no se utiliza desde diciembre de 2018 hace 2 meses fue la ultima vez que fui a la sucursal donde hicieron nota d,Ninguna
Hola como reporto un fallo en mi servicio de telefonia fija y banda ancha si mi linea no funciona,Ninguna
Quiero saber si hay stock de un equipo en la sucursal de san bernardo,Ninguna
Necesito saber si tengo deuda,Ninguna
cuanto se demora en llegar el equipo,Ninguna
hola tengo una central telefonica con ustedes y se me echo a perder el telefono que puedo hacer,Ninguna
Hola Necesito evaluar mi plan actual con Movistar,Ninguna
hola necesito imprimir mu boleta del mes,Ninguna
soy clienta de ustedes y me interesa una cuenta netflix y poder pagarla en mi boleta movistar y quiero saber como tengo que hacerlo para saber llos valores de la cuenta netflix,Ninguna
Hola Estoy checando el estado de mi telefono celular y dice que esta cerrado,Ninguna
contrataron via telefonica canales HD sin el concentimiento del titular,Ninguna
necesito actualizar mi plan,Ninguna
como llamar desde telefono fijo,Ninguna
Necesito hablar con algun ejecutivo,Ninguna
necesito cerrar mi cuenta de wifi movil,Ninguna
Deseo saber como libero mi celular para insertar una SIM del extranjero,Ninguna
Ya pague mi cuenta queria saber cuando me dan el telefono denuevo por que lo cortaron por morosidad,Ninguna
hola 2 cosas me llego la cuenta pero yo page y a la vez hice el cambio a fibra,Ninguna
Hola estoy sin servicio de telefonia fija mi numero de telefono es 32 2951212 mi RUT 12 636 487 3,Ninguna
Hola estoy sin servicio de telefonia fija mi numero de telefono es 32 2951212 mi RUT 12 636 487 3,Ninguna
En que direccion tengo que orientar mi antena,Ninguna
Orientar antena de tv,Ninguna
Contratamos un plan de internet por lag web,Ninguna
Buenas tardes quisiera dar de baja el servicio de internet q tengo en mi casa,Ninguna
Problemas con Movistar hogar,Ninguna
Quiero comprar juegos y que me los cobren en la boleta,Ninguna
Necesito la reposicion del servicio Lo pague en la mañana Mi numero es 432569212 Mi rut es 15214323 02,Ninguna
Hola quero saber mi estado de cuenta actual,Ninguna
Lo que pasa es que acabo de activar movistar play,Ninguna
La señal de TV se ve borrosa,Ninguna
Hola podria decirme de que modo contrate movil play full,Ninguna
Lo que pasa es que me atrase en mi pago de la boleta y no tengo como ahora pagar las dos juntas que puedo hacer se puede repactar,Ninguna
no funciona mi internet,Ninguna
seguimiento movistar,Ninguna
como revisar cuando enviaran mi telefono,Ninguna
Ingreso rut titular en Movistar play y no reconoce rut,Ninguna
hola quiero pagar mi cuenta vencida,Ninguna
bs dias cortaron mi servicio y ya realice el pago que sucede rut 6 165 854 8,Ninguna
Pero el servicio lo acaban de cortar por no pago porque esta a nombre de la persona que antes vivia aca en mi domicilio como puedo tenerlo a mi nombre,Ninguna
Hola quisiera saber el status del servicio ya que no tenemos internet,Ninguna
Hola tengo contratado movistar hogar y necesito ver un plan mas conveniente,Ninguna
Me estan cobrando de mas en mi boleta,Ninguna
Tengo problemas con la red de internet de mi casa desde ayer,Ninguna
compre un celular que debia llegar en dos dias pero no ha llegado,Ninguna
plan,Ninguna
TENGO PLAN PERO QUISIERA REALIZAE UNA RECARGA,Ninguna
Quiero terminar el contrato de internet con ustedes tengo una deuda q la pagare ahora y quiero q me comuniquen telefonicamente con una persona,Ninguna
Quiero dar de baja el plan de internet que tengo con ustedes,Ninguna
Puedo ingresar mi RUT pero no tengo ninguna clave,Ninguna
Quiero desistir del plan de internet,Ninguna
quiero hacer un reclamo porq desde que me porte a movistar tengo el telefono muerto me aparece señal solo para generar llamado de emergencia no tengo señal de internet no puedo ocupar mis gb,Ninguna
Hola me gustaria saber sobre una compra que hice por internet Este es el numero de orden 4000037974,Ninguna
Ayer solicite un servicio movil y aun no me llega el chip,Ninguna
Realize una recarga y no me llego solo me descontaron la plata,Ninguna
hola hoy pague mi ceunta de elular y aun no me reponen los datos que puedo hacer,Ninguna
Servicio tecnico,Ninguna
estoy sin servicio celular,Ninguna
Necesito recuperar mi contraseña de aplicacion pero ya no tengo acceso al correo ni al telefono que tengo registrado,Ninguna
Hola ayer realice una potabilidad con equipo pero queria saber cuando llegara el equipo y quedar ok con lo contratado,Ninguna
tengo problemas con el decodificador de un cable,Ninguna
Quiero activar mi nuevo chip,Ninguna
Buenas tardes quisiera dar de baja un servicio ya que me mude y realice un traslado llame y me dieron un numero de folio para que se guiara 224508834176,Ninguna
Me dijeron que por aca podia dar de baja NO tengo sucursal virtual quiero hacerlo por aqui,Ninguna
Necesito una copia de mi ultima boleta por favor,Ninguna
No tengo sucursal virtual,Ninguna
Si necesito la ultima boleta de pago,Ninguna
Necesito pagar la cuenta fija resulta que el mes anterior me estaban cobrando casi 90 000 obvio no lo pague por ende me cortaron el servicio Me dijeron que me bajarian el valor mensual que es de,Ninguna
TENGO PROBLEMAS CON EL INTERNET HOGAR,Ninguna
45 000 ahora lo quiero pagar pero resulta que ahora me estan cobrando dos meses siendo que el servicio esta suspendid,Ninguna
Necesito servicio tecnico,Ninguna
Necesito servicio tecnico,Ninguna
di de baja mi plan y me dejaron el numero inactivo,Ninguna
Necesito algun numero para llamar y poder regularizar una deuda,Ninguna
Necesito enviar me fotocopia de mi cedula con firma para la renuncia del servicio que realice,Ninguna
Quiero Elimar los HBo de mi consumo,Ninguna
hola me gustaria saber el numero de orden de mi compra,Ninguna
necesito acceder a mi perfil en la pagina y no puedo,Ninguna
necesito saber el numero de orden de un equipo comprado prepago,Ninguna
compre un equipo prepago y no se el numero de mi orden,Ninguna
cual es el numero de seguimiento de mi compra,Ninguna
quiero saber el estado de envio de mi compra,Ninguna
necesito actualizar mi domicilio,Ninguna
do icilio de facturacion,Ninguna
servicio tecnico,Ninguna
Necesito me aclares si cuento con un plan o sigo siendo pre pago,Ninguna
Quisiera saber cuando volveran los servicios a mi casa,Ninguna
Necesito averiguar cuanto debo del numero 968654925,Ninguna
quiero saber el pk de un cobro excesivo de cuenta,Ninguna
cuando se demoran en desbloquiar el aprato como ya cancele la deuda que tenia por esoo,Ninguna
Ultima boleta,Ninguna
wifi no funciona,Ninguna
VALOR DECO,Ninguna
Aca o de pagar mi cuenta pero no tengo internet,Ninguna
No tengo Internet hogat,Ninguna
Tengo una deuda con ustedes y me bloquiaron el equipo,Ninguna
En realidad kro sii puedo repactar ua deuda y q me activen el equipo y continuar cancelando mensual,Ninguna
quiero saber por que en mi cuenta de internet hogar me estan cobrando servicioos adicionales,Ninguna
Ver mi cuenta del plan,Ninguna
Fecha de ultimo pago,Ninguna
Tengo deuda,Ninguna
No tengo mi clave virtual,Ninguna
vivo en el extranjero y tengo una sim card movistar,Ninguna
Quiero cambiar mi iPhone haciendo la compra por internet a Movistar y con despacho a domicilio,Ninguna
queria consultar sobre la fibra optica en mi casa,Ninguna
No tengo red dice solo emergencia,Ninguna
tengo un problema con el internet del hogar,Ninguna
pague ayer el internet y aun no dan el servicio,Ninguna
Hola el 27 de agosto compre un equipo movil compre,Ninguna
Hola quisiera soy prepago y quiero sacar un plan con telefono que opciones tengo a optar uno pie 0,Ninguna
Me realizaron un fraude contratando con ustedes,Ninguna
tengo porblemas con el monto a pagar de mi boleta,Ninguna
Pague ayer mi boleta y aun no me dan el wiffi en mi casa,Ninguna
En que sucursal venden celulares liberados,Ninguna
Como puedo comprar en Google Play con mi Cuenta Movistar,Ninguna
Hola nesecito un telefono para contactarme por llamo al 2006007000 y mi movil me dice ke no tengo saldo y tengo no me deja llamar,Ninguna
Hola resulta que tengo un problema con el internet hogar ya que lo cancele ayer y aun no llega el servicio,Ninguna
quiero pagar un saldo pendiente con un codigo que me dieron pero nose donde ingresarlo,Ninguna
Tengo problemas en otro movil,Ninguna
Deseo cambiar mi plan hogar,Ninguna
servicio tecnico,Ninguna
Saber si vendran a instalar el servicio Sino para anular la inscripcion,Ninguna
Ola buenas tardes quisiera saber que puedo aser para ingresar a la app dw movistar donde se ve las boletas ya que ingreso para registrarme y no me deja porque antiguamente tenia otro correo y otro num,Ninguna
hola me puedes comentar como es un numero privado y en que consiste,Ninguna
Cuantas cuotas me faltan para terminar de pagar mi movil,Ninguna
mi internet va muy lento,Ninguna
por que mi internet va tan mal,Ninguna
tengo dudas con elmpago de una boleta,Ninguna
Tengo problemas con mi WiFi,Ninguna
Las aplicaciones no abren en mi smart tv dice que hay problemas con la conexion,Ninguna
Tengo contratado tv cable pague antes de ayer y 2 decodificadores no me funcionan tengo otros 2 que si quisiera saber el problema,Ninguna
Tengo problemas con mi tv cable,Ninguna
COMO VEO SI TENGO SALDO EN MI CELULAR,Ninguna
Este es mi numero de movistar 94227341 y salen tres otras lineas q no son mia como lo hago no puedo actualizar mis datos en la app movistar,Ninguna
Hola estoy en españa y el dia viernes contrate un roaming desde el dia 1 al 15 de sept este aun no se me activa,Ninguna
Hace 2 semanas solicite tecnico ya que mi telefono fijo no funciona nunca he podido realizar una llamada lo pueden verificar seguramente Pago todos los meses mi cuenta y no tengo servicio,Ninguna
Hola buenos dias quisiera saber en que mes ya puedo renunciar a mi plan sin que me cobren cuota por el celular,Ninguna
por que me siguen cobrando si yo ya no pertenezco a movistar,Ninguna
Tengo contratado con ustedes servicio de telefonia cable e internet,Ninguna
Uno de mis decodificadores de tv no funciona,Ninguna
TV cable no funcionam no llega señal,Ninguna
cuanto se demoran en reponer el servicio,Ninguna
Como puedo recuperar mi clave wifi,Ninguna
Llego 1 semana esperando la portabilidad y aun no tengo señal,Ninguna
revise en sucursal virtual registro de llamadas pero es limitado en un periodo de tiempo como hago para visualizar mayor periodo,Ninguna
en mi cuenta de internet solo me llegan 50 megas de internet y estoy pagando 21 mil pesos por 50 megas,Ninguna
Acabo de pagar mi boleta movil y sigue apareciendo la deuda,Ninguna
Sabe que tengo la tv sin señal,Ninguna
Busco informacion relacionada para renovar mi equipo movil,Ninguna
Numero soporte tecnico,Ninguna
Numero contacto,Ninguna
Numero contacto,Ninguna
Hola tenemos problemas con los decodificador ya que son muy antiguos y nesecito que los cambien por decodificadores nuevos son 4 los decodificadores nesecito respuesta,Ninguna
No solo que las contestadoras no sirven para nada y por internet no llevan a ninguna solucion pero si setrata de deuda todas sirven,Ninguna
Instale movistar play en mi celular pero no puedo registrarme,Ninguna
Que contrataremos dctv y dar de vaja Movistar,Ninguna
NECESITO BLOQUEAR MI TELEFONO YA Q LO PEERDI 994336442,Ninguna
Necesito saber cuando me haran el descuento por casi dos semanas del mes de julio en que estuve sin servicio por parte de la Cia,Ninguna
Necesito pagar la cuenta de Internet,Ninguna
Hola page mi cta y me cortaron el servicio de internet mi rut 6005728 1,Ninguna
Insisto el servicio esta pagado y me cortaron el servicio,Ninguna
Quisiera saber porque me estan cobrando 53 mil,Ninguna
Quiero saber cual es el codigo puk de mi celular,Ninguna
hola tengo un problema con el pago de mi cuenta,Ninguna
queria saber como reiniciar la contraseña del bloqueo parental por edad,Ninguna
Hola escribo porque no tenemos señal en la television,Ninguna
Quiero el detalle de la ultima boleta,Ninguna
hola buenas noches pague por error otro n° de telefono movistar con tc Como puedo hacer para eliminar ese pago o que sea devuelto,Ninguna
Hola me gustaria de cambiar la fecha y hora de la instalacion,Ninguna
Hola me gustaria de cambiar la fecha de instalacion,Ninguna
Me gustaria de cambiar la fecha de instalacion,Ninguna
Me gustaria de cambiar la fecha de instalacion,Ninguna
Me gustaria de cambiar la fecha de instalacion,Ninguna
Me gustaria de cambiar la fecha de instalacion,Ninguna
Cambiar fecha de instalacion,Ninguna
Cambiar fecha de instalacion,Ninguna
Cambiar fecha de instalacion,Ninguna
Cambiar fecha de instalacion,Ninguna
Fecha instalacion plan,Ninguna
Cambiar fecha de instalacion,Ninguna
Cambiar fecha de instalacion,Ninguna
Buenos dias tengo dudas con mi boleta de pack duo internet y cable,Ninguna
Es que sabes que quiero eliminar una hora de instalacion para mañana pero quiero eliminar el servicio contratado,Ninguna
necesito saber que hago,Ninguna
Me estan cobrando plata y ahora ya no portenezco a la compañia movistar,Ninguna
Acabo de ingresar la solicitud para la renuncia de Servicio Hogar pero debo ingresarla aca en la pagina,Ninguna
Me porte de com a Movistar,Ninguna
hola quisiera saber cuantas cuotas por pagar el aparato telefonico,Ninguna
Quisiera saber si puedo optar a un descuento para poder pagar mi deuda con ustedes,Ninguna
quiero el numero de cobranza,Ninguna
Hola Necesito saber en que valor mensula quedaria mi cuenta si solo me quedo con television,Ninguna
hola recibi mi ultima boleta pero tiene un cargo extra por compra de equipo siendo que aproveche una oferta y lo compre a 34 00 0 con tarjeta de credito,Ninguna
hola recibi mi ultima boleta pero tiene un cargo extra por compra de equipo siendo que aproveche una oferta y lo compre a 34 00 0 con tarjeta de credito,Ninguna
hola recibi mi ultima boleta pero tiene un cargo extra por compra de equipo siendo que aproveche una oferta y lo compre a 34 00 0 con tarjeta de credito,Ninguna
hola recibi mi ultima boleta pero tiene un cargo extra por compra de equipo siendo que aproveche una oferta y lo compre a 34 00 0 con tarjeta de credito,Ninguna
Revertir una suspencion de linea telefonica e Internet,Ninguna
Ya pague mi cuenta,Ninguna
Y no registra mi pago,Ninguna
llevo tres semanas sin poder llamar desde mi celular,Ninguna
hay un cable de movistar colgando en la calle aviador bleriot con julio verne quinta normal esta muy peligroso,Ninguna
Tengo una de mis ctas sin acceso a Internet,Ninguna
Hola buenas tarde para hacer una consulta si puedo sacar un celular prepago un Samsung a30,Ninguna
hay un cable de movistar en la calle colgando es peligroso para automoviles y las personas en av bleriot con julio verne,Ninguna
Un celular acredito por prepago,Ninguna
HOLA ME PUEDES INDICAR SI TENGO PENDIENTE EL PAGO DE MI PLAN,Ninguna
este sistema es pesimo necesito respuesta a mi simple consulta,Ninguna
necesito un numero telefonico para contactar a movistar,Ninguna
tengo deuda pendiente,Ninguna
Cual es el horario de atencion de la sucursal de los Andes v region,Ninguna
Hola me llamaron hace poco de Movistar para mejorar el servicio hogar que tengo la verdad no entendi mucho de que trataba me lo podria explicar porfavor,Ninguna
Necesito que me llamen de Movistar para hablar con un ejecutivo,Ninguna
Nesecito saber el monto a pagar de mi boleta de fibra optica,Ninguna
Compre un celular el dia sabado y me gustaria saber como a que hora sera la entrega,Ninguna
Estoy en Brasil y mi problema es que mi plan L tiene roong de datos por 10 dias El cual no funciona para nada no puedo acceder a ninguna aplicacion de mapas Uber no whatsapp,Ninguna
Estoy en Brasil y mi problema es que mi plan L tiene roong de datos por 10 dias El cual no funciona para nada no puedo acceder a ninguna aplicacion de mapas Uber no whatsapp,Ninguna
Estoy en Brasil y mi problema es que mi plan L tiene roong de datos por 10 dias El cual no funciona para nada no puedo acceder a ninguna aplicacion de mapas Uber no whatsapp,Ninguna
Estoy en Brasil y mi problema es que mi plan L tiene roong de datos por 10 dias El cual no funciona para nada no puedo acceder a ninguna aplicacion de mapas Uber no whatsapp,Ninguna
Como puedo sacar mi plan,Ninguna
Hola deje de ser clienta movistar hace unos meses figura una deuda a mi nombre kareen contreras 18258013 9 y para no hacerme problema la trate de pagar varias veces y no sale ninguna deuda,Ninguna
Hola deje de ser clienta movistar hace unos meses figura una deuda a mi nombre kareen contreras 18258013 9 y para no hacerme problema la trate de pagar varias veces y no sale ninguna deuda,Ninguna
Necesito cancelar mi servicio de Internet porque me voy a mudar,Ninguna
reclamo,Ninguna
numero de reclamos para otras compañias,Ninguna
Hola quiero saber como pasar minutos desde mi celular a otro numero,Ninguna
No hay donde preguntar por un producto comprado por la pagina que deberia haber llegado a mi domicilio y aun no pasa nada,Ninguna
Hola necesito que me cambien el control remoto del Deco IPTV como debeo hacer,Ninguna
renovacion de equipo,Ninguna
como puedo cambiar de plan,Ninguna
estoy en la pagina y quiero saber como cambiarme de plan del celular,Ninguna
solo quiero que me indiquen en que parte de la pagina uno puede cambiar de plan de celular,Ninguna
quiero mejorar mi trio hogar,Ninguna
Hola buenas tardes quisiera consultar porque en mi ultima cuenta se elevo tanto el monto,Ninguna
Hola qusiera saber si se genero la portabilidad que genere hoy,Ninguna
Solicitud de portabilidad,Ninguna
por cambio de casa necesito dar por terminado mi servicio de intenet,Ninguna
deseo visualizar mi ultima boleta,Ninguna
Mi TV cable no funsiona,Ninguna
Hola necesito un tecnico para el servicio de wifi hogar si No tengo respuesta pronta dare de baja el servicio ya que llevo dos meses sin utilizarlo y pagando por el,Ninguna
quisiera saber como recupero mi numero si esta bloqueado por robo,Ninguna
como recupero mi numero movistar,Ninguna
como obtengo mi nuero movistar,Ninguna
acabo de cancelar la cuenta de telefono a traves de ovistar y no me dio el comprobante de pago,Ninguna
mi numero ha sido bloqueado,Ninguna
queria saber que pasa si dejo de pagar mensualmente mi plan,Ninguna
Hola deseo ayuda para desactivar servicios de internet y telefonia fija de mi plan hogar,Ninguna
deseo saber si hay problemas con mi servicio,Ninguna
Pague mi boleta y aun no me dan los servicios,Ninguna
me van a cortar el servicio,Ninguna
Pague la cuenta del internet hace unos dias pero estoy sin servicio,Ninguna
No puedo ingresar a mi sucursal virtual,Ninguna
saber como adquirir un codigo para retirar un chip,Ninguna
Hola me gustaria tener mi boleta,Ninguna
Me gustaria saber si puedo sacar equipo con mi plan acto,Ninguna
Cuantos meses son para poder portarme a Movistar,Ninguna
Quisiera saber mi clave para ver TV por mi celular tengo plan de Internet y TV cable,Ninguna
tengo activo el roaming de mi linea,Ninguna
que servicios tengo activos,Ninguna
hola como asocio un prepago a un rut,Ninguna
por que me aparece una deuda si no soy clliente de movistar,Ninguna
HOLA MIRA A MI ME REGALARON UN CL HACE YA TIEMPO ERA DE MOVISTAR PERO YO LO PASE A ENTEL RESULTA Q AYER ME LO BLOKEARON PENSANDO Q ERA ENTEL FUI Y ME DIJERON Q ERA X DEUDA A MOVISTAR,Ninguna
Necesito saber cuantos meses llevo con mi plan actual,Ninguna
Necesito saber cuando comence con mi plan,Ninguna
Quiero renovar mi celular,Ninguna
quisiera saber si mi boleta el Monto es el Correcto,Ninguna
Hola yo me cambie de compañia o sea hice la portabilidad tengo que ir a movistar a constatar el cambio o eso es automatico Gracias,Ninguna
Hola queria saber q por q esta bloqueado mi imei,Ninguna
Hola buenos dias mi consulta es que el dia de ayer cancele la cuenta de mi celular,Ninguna
Hola me gustaria cancelar el plan que tengo con movistar cuales son los pasos a seguir,Ninguna
Hola quiero actualizar mis datos porque cambie mi correo,Ninguna
hola buenas tardes que ver si mi marido puede sacar plan en movistar,Ninguna
contratar plan,Ninguna
porque aun no traien telefono,Ninguna
Yko me deja ingresar porque me porte a otra compañia,Ninguna
Ayuda en soporte,Ninguna
Ya tengo la clave de la sucursal virtual,Ninguna
Si en mi celular la barra de señal aparece una x que significa,Ninguna
Donde puedo consultar mi numero celular si no puedo llamar,Ninguna
Y quiero saber mi numero celular,Ninguna
Como puedo saber el numero de mi chip movistar,Ninguna
Quiero sabes mi numero celular,Ninguna
celular,Ninguna
Una ejecutiva acaba de llamarme por una deuda que mantengo pero me trato super mal,Ninguna
no ingresare nunca mas ire a poner el reclamo directo a sucursal,Ninguna
Activar chip prepago,Ninguna
Presta un error al cambiar de canal,Ninguna
necesito pagar mi cuenta hogar,Ninguna
mira quiero saber el plan que tengo,Ninguna
hola necesito saber cuando vence mi plan de celular,Ninguna
No se me ve la television aparece un error,Ninguna
he recibido mi simcard que contrqte por poortabilidad La instale pero al parecer no esta activada,Ninguna
Mi nombre es Daniela Lavandero y tengo actualmente un plan en Claro,Ninguna
Necesito que mañana se puedan contactar con el titular del plan para realizar la portabilidad,Ninguna
horario de atencion,Ninguna
Acabo de llegar de un viaje y me entero qu mi esposa recibio Y PAGO una cuenta de mas de 270 mil pesos tres vece mas de lo que corresponde ES UN ERROR,Ninguna
Quiero saber cuando tendre el arreglo de mi linea telefonica e Internet llevo mas de 1 mes sin el servicio y no he tenido respuesta alguna,Ninguna
Necesito saber estafo de solicitud de desbloqueo de equipo smartphone comprado en Estados Unidos el numero de solicitud es 2296346 y el status dice cerrado a pesar que aun no te fo red,Ninguna
Ise una potabilidad me llego el chip y no me funciona,Ninguna
ya no hay recargas dobles,Ninguna
promociones de recarga,Ninguna
Necesito entregar mi plan de telefonia hogar,Ninguna
Entregar plan,Ninguna
Me falla el internet en el celular a cd rato,Ninguna
tengo un plan que me ofrecieron en febrero,Ninguna
necesito dar de baja mi plan hogar,Ninguna
Por que no sale la alternativa de pagar con tarjeta de debito,Ninguna
por que no sale la alternativa de de redcompra para pagar,Ninguna
Mire yo tenia un numero de movistar El numero es 953041278 y yo ocupaba el wsp Hasta hoy 16 40 Y a hora no lo puedo ocupar Porque otra persona esta ocupando mi numero,Ninguna
hola buenas tardes estaba atrasada con el pago y acabo de cancelar mi telefonia fija la pregunta es cuando me daran la linea,Ninguna
tengo problemas con el registro en movistar play,Ninguna
Yo pague y me corraron el servicio,Ninguna
tengo duda respecto a un pre plan,Ninguna
Hola mis servicios de internet no cumplen se han visto dificultados desde la instalacion de servicios de telecable me gustaria que dieran un vistazo,Ninguna
Quiero trabajr en movistar,Ninguna
Cuantos megas tengo contratado,Ninguna
Quiero saber si yo contrato spotifay me consume los gigas de mi plan gracias,Ninguna
se duplica la recarga este mes,Ninguna
se duplica la recarga en septiembre,Ninguna
Y quisiera saber si puedo ir a retirar el celular a movistar,Ninguna
estimado buen dia necesito que puedan suspender todo tipo de suscripcion del movil 957742953 en boleta del periodo aparece un cargo de 12 750 el cual no corresponde el mes anterior tambiem aparece,Ninguna
Necesito suspender suscripciones asociada al plan telefonico,Ninguna
suspencion suscripciones asociadas a linea movil,Ninguna
hola quiero pagar mi factura y coloco el numero de cuenta y no me deja no me sale nada y ya deberia estar la deuda y no quiero que me corten el internet,Ninguna
buen dia quiero pagar mi cuenta del mes y entro a pagar en linea ingreso mi numero de asociado y no me deja pasar habra algun problema,Ninguna
hola como puedo pagara una cuenta por interenet y no soy el titular,Ninguna
Necesito saber si estoy apta para el perdonaso,Ninguna
HOLA BUEN DIA MI NOMBRE ES DANILE TEMEMOS UN SERVICIO CORPORATIVO Y DESEAMOS CONOCER LA FACTURA,Ninguna
HOLA ME GUSTARIA CONOCER EL TRACK DE UNA COMPRA QUE HICE,Ninguna
Me llamo una ejecutiva de movistar diciendo que tenia un descuento en mi boleta pero cuando fui a pagar no habia tal descuento,Ninguna
Hola quisiera saber sobre el servicio que se me ofrecio el cual ya fue instalado en mi domicilio,Ninguna
No me a llegado una recarga q realice por la aplicacion de Internet,Ninguna
E recargado por Internet y no se realizo la recarga pero me descontaron el dinero de mi cuanta,Ninguna
Nesesito generar codigo para que retiren mi chip en una sucursal de valdivia,Ninguna
Hola necesito el numero de contacto de la sucursal de Arica,Ninguna
Mira necesito saber como canjear unas entradas que me gane en mi club movistar,Ninguna
hace 1 mes aproximadamente hice portabilidad a VTR,Ninguna
hice una portabilidad a vtr pero hoy mi telefono que saque con movistar esta bloqueado,Ninguna
hola tengo una consulta sobre una recarga,Ninguna
he recibido la boleta para pago de este mes pero el monto a pagar no es el que me indico un asistente comerecial,Ninguna
estoy tratando de pagar mi cuenta pero por algun motivo que desconozco no se puede,Ninguna
acabo de contratar servicios mobile wifi hay alguna app u otra forma de poder revisar consumo de datos moviles,Ninguna
Realice una recarga en movistar cl la cual me señalo la pagina como transaccion NO realizada pero de igual forma me la descontaron de mi cuenta bancaria La recarga no fue recibida,Ninguna
NECESITO CAMBIAR MI PLAN DE TARIFA POR UNA MENOR LO HE INTENTADO TRES VECES DONDE MI PIDEN MI RUT Y CONTRASEÑA,Ninguna
recargue mi telefono y me tiene sin servicio ya recalme al Sernac,Ninguna
hola buenas necesito saber el estado del servicio de mi conexion,Ninguna
como soy lento para escribir necesito algun numero para llamar y hacer un reclamo sobre mi cuenta porfa,Ninguna
Algun numero telefonico para poder hacer un reclamo de mi cuenta,Ninguna
no logro pagar la cuenta,Ninguna
Hola quisiera saber si las instalaciones son con antena o cable,Ninguna
estoy trtando de pagar mi cuenta y no se puede hacer,Ninguna
no se puede pagar por la pagina,Ninguna
Realice el 10 de Junio portabilidad desde Movistar a WOM y continuan cobrandome boletas luego de ese dia,Ninguna
Necesito informacion para portarme de compañia celular la cuando leo,Ninguna
necesito saber que planes tengo,Ninguna
Como puedo habilitar la facturacion por movistar,Ninguna
Tengo un deco que no se conecta y aparece una luz roja eso ocurrio luego de un corte de luz,Ninguna
hola me gustaria ver la factibilidad tecnica para internet fibra 100 megas en la direccion Simon Bolivar 218 Arica,Ninguna
problemas con la señal de cable,Ninguna
hola desde ayer no tengo internet en mi casa,Ninguna
cambio de horario,Ninguna
Como accedo al software de mi dispositivo,Ninguna
Hola mi duda es con respecto a los cobros de mi servicio internet hogar,Ninguna
hola buenas tardes en el mes de julio se solicito la baja de mis servicios y a la fecha me siguen cobrando los aparatos fueron devueltos,Ninguna
Hola Necesito ayuda o algun telefono para hablar con un operador ya que mi celular esta sin servicio hace varias horas y no se cual es el problema,Ninguna
Hola lo que pasa es que estuve revisando mi rut en deudas y me sale q tengo deuda con ustedes y yo nunca e contratado algun servicio de hogar,Ninguna
No funciona internet ni telefono fijo,Ninguna
Hola mi mama compro un equipo y venia con un chip de regalo aparte del que saco con plan Quiero saber si ese chip lo puedo usar en otro equipo,Ninguna
necesito saber si despues del pago de una cuenta movil el plan seguira vigente,Ninguna
Recargue por la pagina y me desconto el monto pero no me llego la recarga,Ninguna
Plan inhabilitado,Ninguna
Mi plan no esta activo,Ninguna
Registro de llamadas,Ninguna
no tengo tv,Ninguna
Quiero saber porque mi numero de orden 4000039224 no ha llegado,Ninguna
compre celular en internet y no ha llegado,Ninguna
que hacer si mi celular no ha llegado,Ninguna
